Name,Genre,Director,Scenarist,Actor1,Actor2,Actor3,Channel,Publisher,NumberOfSeasons,NumberOfEpisodes,PublishYear,Status
Acımak,Dram,Orhan Aksoy,Orhan Aksoy,Ayşegül Aldinç,Ediz Hun,Berhan Şimşek,TRT 1,TRT,1,7,1985,Sona erdi
Aşk-ı Memnu,Aile,Halit Refiğ,Halit Refiğ,Salih Güney,Müjde Ar,Neriman Köksal,TRT,TRT,1,6,1975,Sona erdi
Aynalı Tahir,Dram,Hilal Saral,Sergin Akyaz,Alişan,Arif Kilisli,Erkan Petekkaya,Star TV,Base Productions,5,175,1998,Sona erdi
Ayrılsak da Beraberiz,Aile,Sibel Kocataş,Murat Aras,Hakan Yılmaz,Janset,Necmi Yapıcı,TRT 1,Mint Prodüksiyon,5,490,1999,Sona erdi
Ayşecik,Dram,Ayhan Önal,Hamdi Değirmencioğlu,Ecem Kanun,Meltem Ören,İhsan Bilsev,Show TV,Show TV,2,184,1997,Sona erdi
Baba Evi,Dram,Yusuf Kurçenli,Neşe Cehiz,Halil Ergün,Deniz Gökçer,Sevinç Erbulak,atv,Muhteşem Film,4,135,1997,Sona erdi
Başka Olur Ağaların Düğünü,Dram,Fatih Arslan,Kemal Bilbaşar,Mehmet Aslantuğ,Seren Serengil,Erol Taş,TRT 1,TRT,1,5,1990,Sona erdi
Bizimkiler,Aile,Yalçın Yelence,Umur Bugay,Erdal Özyağcılar,Ayşe Kökçü,Atılay Uluışık,TRT 1,Bugay Yapım,15,459,1989,Sona erdi
Bizim Aile,Komedi,Kartal Tibet,Civan Canova,Mehmet Çerezcioğlu,Mine Çayıroğlu,Toprak Sergen,Kanal D,Kanal D,1,30,1996,Sona erdi
Bizim Ev,Aile,İsmail Güneş,Ömer Lütfi Mete,Cüneyt Arkın,Nilgün Akçaoğlu,Hülya Darcan,TGRT,TGRT,3,101,1996,Sona erdi
Bizim Kuruntu Ailesi,Sitkom,Bülent Özdural,Nedim Doğan,Gazanfer Özcan,Gönül Ülkü,Doğu Erkan,TGRT,TGRT,2,47,1997,Sona erdi
Bizim Mahalle,Aile,Ülkü Erakalın,Çetin Büyükakın,Neslihan Acar,Osman Yağmurdereli,Üstün Asutay,TRT 1,TRT,8,510,1994,Sona erdi
Böyle mi Olacaktı,Dram,Ümit Efekan,Erdoğan Tünaş,Açelya Akkoyun,Berna Laçin,Hande Ataizi,atv,Erler Film,6,167,1997,Sona erdi
Bücür Cadı,Fantastik,Adem Ayral,Vasıf Küçükoruç,Yunus Bülbül,Önder Açıkalın,Sezer Güvenirgil,Star TV,Star TV,1,169,1999,Sona erdi
Canısı,Dram,Temel Gürsu,Safa Önal,İbrahim Erkal,Emine Ün,Yusuf Çetin,Show TV,Gold Film,1,26,1997,Sona erdi
Çarli,Komedi,Bülent Özdural,Nevzat Kitapçı,Ercan Diler,Berrin Arısoy,Melodi Bağcı,Star TV,Star TV,2,24,1998,Sona erdi
Çalıkuşu,Dram,Osman F. Seden,Osman F. Seden,Aydan Şener,Kenan Kalav,Sadri Alışık,TRT,TRT,1,7,1986,Sona erdi
Çılgın Bediş,Gençlik,Turgut Yasalar,Zeki Keskin,Yonca Evcimik,Cenk Torun,Çiçek Dilligil,Kanal D,Kanal D,4,70,1996,Sona erdi
Çiçek Taksi,Aile,Yaşar Seriner,Yılmaz Okumuş,Erol Günaydın,Eşref Kolçak,Ümit Yesin,atv,Ulusal Radyo Televizyon,7,367,1995,Sona erdi
Deli Yürek,Aksiyon,Osman Sınav,Ömer Lütfi Mete,Kenan İmirzalıoğlu,Zeynep Tokuş,Melda Bekcan,Show TV,Sinegraf,4,113,1998,Sona erdi
Dokuzuncu Hariciye Koğuşu,Dram,Salih Diriklik,Mehmet Taşdiken,Oğuz Tunç,Nergis Kumbasar,Muhterem Nur,TRT 1,TRT,1,4,1986,Sona erdi
Eltiler,Komedi,Mahinur Ergun,Aysel Köz,Sevinç Aktansel,Engin Şenkan,Betül Arım,TGRT,Renk Yapım,2,126,1998,Sona erdi
Ferhunde Hanımlar,Dram,Tülay Eratalay,Yeşim Olcay,Beyhan Saran,Baykal Saran,Güven Hokna,TRT 1,TRT,7,1069,1993,Sona erdi
Gençler,Duygusal,Adem Kılıç,Sıtkı Tekmen,Ziya Kürküt,Fikret Kuşkan,Oktay Kaynarca,TRT 1,TRT,1,24,1989,Sona erdi
Gurbetçiler,Aile,Yücel Uçanoğlu,Erdoğan Tünaş,Uğur Uludağ,Ahu Türkpençe,Aykut Oray,atv,ATV,4,152,1996,Sona erdi
Gülşen Abi,Durum komedisi,Uğur Erkır,Can Barslan,Haluk Bilginer,Nilüfer Açıkalın,Selim Naşit,TRT 1,STR,3,115,1994,Sona erdi
Gül ve Diken,Romantik,Osman F. Seden,Osman F. Seden,Aydan Şener,Murat Parasayar,Müge Arda,Star TV,Kemal Film,1,9,1994,Sona erdi
Hüsnü Bey Amca,Komedi,Ülkü Erakalın,Zihni Küçümen,Gazanfer Özcan,Gönül Ülkü,Doğu Erkan,TRT 1,TRT,3,155,1994,Sona erdi
İlişkiler,Dram,Ülkü Erakalın,Erdoğan Akduman,Yonca Cevher Şahinbaş,Gökhan Mete,Nur Sürer,ATV,Replik Ajans,3,107,1997,Final
Kanun Savaşçıları,Aksiyon,Emin Gerçeker,Nuran Devres,Serdar Gökhan,Eşref Kolçak,Özlem Savaş,TRT 1,TRT,1,234,1989,Sona erdi
Kara Melek,Macera,Uğur Erkır,Nuran Devres,Sanem Çelik,Ece Uslu,Mustafa Alabora,Star TV,Eylül TV,4,110,1997,Sona erdi
Kaynanalar,Sitkom,Tekin Akmansoy,Tekin Akmansoy,Tekin Akmansoy,Leman Çıdamlı,Defne Yalnız,TRT,TRT,14,314,1974,Sona erdi
Kaygısızlar,Komedi,Oğuz Yalçın,Gani Müjde,Ercan Yazgan,Halit Akçatepe,Ayşen Gruda,Kanal D,3 Nokta Film,4,121,1994,Sona erdi
Kurtuluş,Tarihî,Ziya Öztan,Turgut Özakman,Rutkay Aziz,Mahmut Cevher,Savaş Dinçel,TRT 1,TRT,1,6,1994,Sona erdi
Kuruntu Ailesi,Komedi,Uğur Erkır,Atay Sözer,Gazanfer Özcan,Gönül Ülkü,Doğu Erkan,TRT 1,TRT,5,121,1985,Sona erdi
Küçük Ağa,Dram,Yücel Çakmaklı,Tarık Buğra,Çetin Tekindor,Aydan Şener,Erol Taş,TRT 1,TRT,1,8,1984,Sona erdi
Küçük Besleme,Dram,Tunca Yönder,Sevda Aktolga,Tomris Oğuzalp,Esmeray,Gökhan Eğilmezbaş,Star TV,Yeni Yapımlar Yönder Ltd.Şti,3,175,1999,Sona erdi
Küçük İbo,Dram,Hüseyin Karakas,Hüseyin Karakas,İbrahim Küçük,Bülent Bilgiç,Yasemin Koşal,Show TV,Show TV,4,83,1997,Sona erdi
Mahallenin Muhtarları,Aile,Oğuz Yalçın,Kandemir Konduk,Aydan Burhan,Erkan Can,Cihat Tamer,Kanal 6,Replik Yapım,10,337,1992,Sona erdi
Mardin-Münih Hattı,Dram,Ünal Küpeli,Ünal Küpeli,Tanju Gürsu,Nadja Smolik,Zeynel Karaca,TRT 1,TRT,1,6,1986,Sona erdi
Marziye,Dram,Taner Akvardar,Nuran Devres,Kadir İnanır,Gülben Ergen,Ayhan Eroğlu,TGRT,TGRT,2,65,1998,Sona erdi
Örümcek,Dram,Zeynep Tor,Hüseyin Karakaş,Nilüfer Kurt,İpek Tenolcay,Betül Arım,Show TV,Sedine Prodüksiyon,4,110,1997,Sona erdi
Perihan Abla,Komedi,Yalçın Yelence,Kandemir Konduk,Perran Kutman,Şevket Altuğ,Tuluğ Çizgen,TRT 2,İstanbul TV,2,74,1999,Sona erdi
Portatif Hüseyin,Komedi,Gül Erbil,Murat Kürüz,Nezih Tuncay,Orçun Sonat,Yasemin Koşat,Star TV,Star 1,2,66,1991,Sona erdi
Ruhsar,Fantastik,Ümmü Burhan,Gani Müjde,Hande Ataizi,Cem Davran,Göksel Kortay,Kanal D,ANS Productions,5,108,1998,Sona erdi
Samanyolu,Dram,Kartal Tibet,Mehmet Aydın,Aydan Şener,Yaşar Alptekin,Tolga Savacı,TRT 1,Ay Yapım,1,4,1989,Sona erdi
Sıdıka,Komedi,Mahinur Ergun,Atilla Atalay,Hasibe Eren,Füsun Demirel,Ali Erkazan,Show TV,Delta Film,3,98,1997,Sona erdi
Sırılsıklam,Dram,Temel Gürsu,Arda Uskan,İbrahim Erkal,Melis Yamalıoğlu,Süleyman Turan,Show TV,Gold Film,2,32,1998,Sona erdi
Süper Baba,Dram,Osman Sınav,Yavuz Turgul,Şevket Altuğ,Jülide Kural,Seray Gözler,atv,Kare Ajans,4,137,1993,Sona erdi
Şaşıfelek Çıkmazı,Aile,Mahinur Ergun,Mahinur Ergun,Derya Alabora,Zuhal Gencer,Fikret Kuşkan,TRT 1,TRT,4,63,1996,Sona erdi
Şehnaz Tango,Romantik komedi,Taner Akvardar,Oya Yüce,Perran Kutman,Erdal Özyağcılar,Alev Sezer,Show TV,Ar Ajans,4,130,1994,Sona erdi
Tatlı Kaçıklar,Durum komedisi,Aram Gülyüz,İhsan Aydın,Mehmet Ali Erbil,Yalçın Menteş,Buket Dereoğlu,atv,Erler Film,5,165,1996,Sona erdi
Türkmen Düğünü,Duygusal,Adem Ayral,Adem Ayral,Yılmaz Zafer,Ece Pirim,Nilgün Bubikoğlu,TRT 1,TRT,1,3,1989,Sona erdi
Uğurlugiller,Durum komedisi,Gürol Gökçe,İsmet Kür,Yıldız Kenter,Şükran Güngör,Tevfik Gelenbe,TRT 1,STR,4,68,1988,Sona erdi
Umut Taksi,Dram,Yusuf Kurçenli,Yılmaz Erdoğan,Dilaver Uyanık,Yılmaz Erdoğan,Ferdi Akarnur,TRT 1,TRT,2,52,1992,Sona erdi
Üvey Baba,Dram,Tunca Yönder,Samim Utku,Şemsi İnkaya,Betül Aşçıoğlu,Burçin Abdullah,Star TV,Yeni Yapımlar Yönder TV & Film Ltd.,6,204,1998,Sona erdi
Yaz Evi,Duygusal,Aram Gülyüz,Nezihe Araz,Yıldız Kenter,Müşfik Kenter,Şükran Güngör,TRT 1,TRT,3,100,1993,Sona erdi
Yazlıkçılar,Aile,Yalçın Yelence,Yalçın Yelence,Engin Şenkan,Ayşe Kökçü,Ercan Yazgan,TRT 1,Bugay Yapım,6,39,1993,Sona erdi
Yılan Hikâyesi,Dram,Nihat Durak,Tayfun Güneyer,Meltem Cumbul,Süleyman Turan,Süleyman Turan,Kanal D,Yağmur Ajans,3,90,1999,Sona erdi
Yedi Numara,Gençlik,Haluk Bener,Ayça Mutlugil,Şebnem Sönmez,Engin Alkan,Tuba Erdem,TRT 1,TRT,3,92,2000,Sona erdi
Acı Hayat,Dram,Abdülkadir Ceylan Ede,Aybars Bora Kahyaoğlu,Kenan İmirzalıoğlu,Selin Demiratar,Oğuz Galeli,Show TV,Sinegraf,2,59,2005,Sona erdi
Alacakaranlık,Polisiye,Yağmur Taylan,Sulhi Dölek,Uğur Yücel,Kenan İmirzalıoğlu,Özkan Uğur,Show TV,Paranoya TV,2,37,2003,Sona erdi
Aliye,Dram,Kudret Sabancı,Şebnem Çitak,Sanem Çelik,Nejat İşler,Halit Ergenç,atv,TMC Film,3,76,2004,Sona erdi
Asmalı Konak,Dram,Çağan Irmak,Mahinur Ergun,Özcan Deniz,Nurgül Yeşilçay,Selda Alkor,atv,ANS Productions,2,54,2002,Sona erdi
Aşka Sürgün,Dram,Cemal Şan,Pınar Ordu,Mahsun Kırmızıgül,Beren Saat,İzzet Günay,atv,Sis Yapım,2,53,2005,Sona erdi
Aşkım Aşkım,Komedi,Filiz Kaynak,Tayfun Güneyer,Emel Sayın,Mehmet Ali Erbil,Doğa Rutkay,Kanal D,Yağmur Ajans,2,50,2002,Sona erdi
Avrupa Yakası,Durum komedisi,Jale Atabey,Gülse Birsel,Gülse Birsel,Levent Üzümcü,Senay Gürler,atv,Plato Film,6,190,2004,Sona erdi
Bayanlar Baylar,Komedi,Erdoğan Engin,Gani Müjde,Oktay Kaynarca,Hande Ataizi,Günay Karacaoğlu,Kanal D,ANS Productions,1,13,2002,Sona erdi
Belalı Baldız,Komedi,Fatih Aksoy,Haluk Özenç,Nurgül Yeşilçay,Berna Laçin,Kenan Işık,atv,Medyapım,1,34,2005,Sona erdi
Beşinci Boyut,Dram,Hasan Kıraç,Onur Ünlü,Cengiz Toraman,Doğan Turan,Batuhan Karacakaya,Samanyolu TV,Samanyolu TV,5,140,2005,Sona erdi
Beyaz Gelincik,Dram,Güzide Balcı,Sulhi Dölek,Erkan Petekkaya,Sezin Akbaşoğulları,Altan Erkekli,atv,TMC,2,74,2005,Sona erdi
Bir İstanbul Masalı,Aşk,Ömür Atay,Sertaç Ergin,Mehmet Aslantuğ,Ahu Türkpençe,Çetin Tekindor,atv,TMC,2,71,2003,Sona erdi
Bizim Evin Halleri,Aile,Tülay Eratalay,Tolga Aydoğan,Beyhan Saran,Meral Niron,Emel Göksu,TRT 1,TRT,10,1705,2000,Sona erdi
Büyük Buluşma,Dram,Zeynep Tor,Onur Ünlü,Ümit Acar,Oğuz Oktay,Zeynep Ece Akkoca,Samanyolu TV,Ser Film,4,155,2004,Sona erdi
Büyük Yalan,Dram,Yüksel Aksu,Deniz Akçay,Emrah Erdoğan İpek,Sinem Öztufan,Murat Yıldırım,atv,Gold Film,2,69,2004,Sona erdi
Büyümüş de Küçülmüş,Sitkom,Cem Karcı,Levent Demirkale,Mehmet Ali Erbil,Melisa Sözen,Nilgün Belgün,Kanal D,D Productions,1,9,2003,Sona erdi
Cennet Mahallesi,Komedi,Serdar Akar,Resul Ertaş,Melek Baykal,Müjdat Gezen,Özkan Uğur,Show TV,Erler Film,3,119,2004,Sona erdi
Çapkın,Komedi,Bora Onur,Ali Can Yaraş,Okan Yalabık,Özlem Conker,Ahmet Mümtaz Taylan,Show TV,Süreç Film,1,17,2005,Sona erdi
Çemberimde Gül Oya,Dram,Çağan Irmak,Sertaç Ergin,Selda Alkor,Özge Özberk,Mehmet Ali Nuroğlu,Kanal D,Avşar Film,1,40,2004,Sona erdi
Çocuklar Duymasın,Aile,Bora Tekay,Birol Güven,Tamer Karadağlı,Pınar Altuğ,Volkan Severcan,TGRT,Protel Yapım,9,464,2002,Ara verdi
Çocuklar Ne Olacak,Aile,Raşit Çelikezer,Metin Açıkgöz,Ayşecan Tatari,Furkan Kızılay,Özgür Ozan,Star TV,Protel Yapım,1,26,2004,Sona erdi
Dadı,Komedi,Fatih Aksoy,Erol Hızarcı,Gülben Ergen,Kenan Işık,Haldun Dormen,Show TV,Medyapım,3,61,2001,Sona erdi.
Ekmek Teknesi,Komedi,Metin Günay,Hasan Kaçan,Savaş Dinçel,Sermin Hürmeriç,Hasan Kaçan,atv,Sinegraf,3,106,2002,Sona erdi
Emret Komutanım,Askeri,Mustafa Altıoklar,Alper Erze,Sarp Levendoğlu,Demet Evgar,Seda Akman,Show TV,Altıoklar Film Prodüksiyon,4,95,2005,Sona erdi
En Son Babalar Duyar,Durum komedisi,Sibel Kocataş,Necmi Yapıcı,Ayşegül Atik,Ali Erkazan,Levent Ülgen,TRT 1,MinT Motion Pictures,5,200,2002,Sona erdi
Esir Şehrin İnsanları,Dram,Cafer Özgül,Ahmet Yurdakul,Emre Kınay,Zeynep Tokuş,Fikret Kuşkan,TRT 1,TRT,1,8,2003,Sona erdi
